timestamp,cpu_usage,memory_usage,request_rate,avg_response_time,error_rate,application_health,label
2026-09-09T21:49:59.480447,0.20666666666657973,54775808.0,0.0,nan,nan,1.0,0
2026-09-09T21:50:09.513728,0.4177777777777515,54730752.0,0.0,nan,nan,1.0,0
2026-09-09T21:50:19.536302,0.4177777777777515,54730752.0,0.0,nan,nan,1.0,0
2026-09-09T21:50:29.550583,0.4177777777777515,54562816.0,0.0,nan,nan,1.0,0
2026-09-09T21:50:39.576851,0.4866666666666535,55296000.0,0.0,nan,nan,1.0,0
2026-09-09T21:50:49.601496,0.4866666666666535,55296000.0,0.0,nan,nan,1.0,0
2026-09-09T21:50:59.626888,0.48444444444435747,55140352.0,0.0,nan,nan,1.0,0
2026-09-09T21:51:09.648288,0.6599999999999302,40439808.0,0.0,nan,nan,1.0,0
2026-09-09T21:51:19.674903,0.6599999999999302,40439808.0,0.0,nan,nan,1.0,0
2026-09-09T21:51:29.695899,0.5888888888888585,34160640.0,0.0,nan,nan,1.0,0
2026-09-09T21:51:39.715559,0.6266666666666272,30773248.0,0.0,nan,nan,1.0,0
2026-09-09T21:51:49.741733,0.6266666666666272,30773248.0,0.0,nan,nan,1.0,0
2026-09-09T21:51:59.758061,0.5222222222221262,23306240.0,0.0,nan,nan,1.0,0
2026-09-09T21:52:09.781037,0.5555555555554292,23289856.0,0.0,nan,nan,1.0,0
2026-09-09T21:52:19.803505,0.5555555555554292,23289856.0,0.0,nan,nan,1.0,0
2026-09-09T21:52:29.819846,0.34666666666655344,23031808.0,0.0,nan,nan,1.0,0
2026-09-09T21:52:39.834462,0.3822222222221524,23851008.0,0.0,nan,nan,1.0,0
2026-09-09T21:52:49.856264,0.3822222222221524,23851008.0,0.0,nan,nan,1.0,0
2026-09-09T21:52:59.875049,0.5555555555555555,24072192.0,0.0,nan,nan,1.0,0
2026-09-09T21:53:09.909162,0.5888888888889848,23920640.0,0.0,nan,nan,1.0,0
2026-09-09T21:53:26.533154,0.6244444444445839,23724032.0,0.0,nan,nan,1.0,1
2026-09-09T21:53:36.562126,0.7644444444445575,23736320.0,0.0,nan,nan,1.0,1
2026-09-09T21:53:46.588436,0.7644444444445575,23736320.0,0.0,nan,nan,1.0,1
2026-09-09T21:53:56.611784,0.8333333333333331,23867392.0,0.0,nan,nan,1.0,1
2026-09-09T21:54:06.628082,0.6599999999999302,23846912.0,0.0,nan,nan,1.0,1
2026-09-09T21:54:16.653420,0.6599999999999302,23846912.0,0.0,nan,nan,1.0,1
2026-09-09T21:54:26.668752,0.24444444444434843,23650304.0,0.0,nan,nan,1.0,1
2026-09-09T21:54:36.693636,0.1755555555555727,23711744.0,0.0,nan,nan,1.0,1
2026-09-09T21:54:46.715094,0.1755555555555727,23711744.0,0.0,nan,nan,1.0,1
2026-09-09T21:54:56.731232,0.5177777777777868,23609344.0,0.0,nan,nan,1.0,1
2026-09-09T21:55:06.753074,0.7288888888889585,23687168.0,0.0,nan,nan,1.0,1
2026-09-09T21:55:16.770190,0.7288888888889585,23687168.0,0.0,nan,nan,1.0,1
2026-09-09T21:55:26.783972,0.7622222222222615,25165824.0,0.0,nan,nan,1.0,1
2026-09-09T21:55:36.797844,0.48888888888894944,25124864.0,0.0,nan,nan,1.0,1
2026-09-09T21:55:46.815595,0.48888888888894944,25124864.0,0.0,nan,nan,1.0,1
2026-09-09T21:55:56.827176,0.45111111111105445,24920064.0,0.0,nan,nan,1.0,1
2026-09-09T21:56:06.845115,0.6955555555555293,24817664.0,0.0,nan,nan,1.0,1
2026-09-09T21:56:16.859930,0.6955555555555293,24817664.0,0.0,nan,nan,1.0,1
2026-09-09T21:56:26.874438,0.5911111111111544,25452544.0,0.0,nan,nan,1.0,1
2026-09-09T21:56:36.888048,0.5555555555556818,25374720.0,0.0,nan,nan,1.0,1
2026-09-09T21:56:46.906894,0.5555555555556818,25374720.0,0.0,nan,nan,1.0,1
2026-09-09T21:56:56.923128,0.4155555555555818,23228416.0,0.0,nan,nan,1.0,1
2026-09-09T21:57:06.943618,0.5199999999999565,24092672.0,0.0,nan,nan,1.0,1
2026-09-09T21:57:16.958340,0.5199999999999565,24092672.0,0.0,nan,nan,1.0,1
2026-09-09T21:57:26.983471,0.5888888888888585,24772608.0,0.0,nan,nan,1.0,1
2026-09-09T21:57:37.001793,0.6244444444444575,24199168.0,0.0,nan,nan,1.0,1
2026-09-09T21:57:47.034392,0.6244444444444575,24199168.0,0.0,nan,nan,1.0,1
2026-09-09T21:57:57.053993,0.5888888888889848,23945216.0,0.0,nan,nan,1.0,1
2026-09-09T21:58:07.080750,0.5577777777778515,23805952.0,0.0,nan,nan,1.0,1
2026-09-09T21:58:17.101800,0.5577777777778515,23805952.0,0.0,nan,nan,1.0,1
2026-09-09T21:58:27.130639,0.5911111111111544,24653824.0,0.0,nan,nan,1.0,1
2026-09-09T21:58:37.145790,0.7977777777777343,25169920.0,0.0,nan,nan,1.0,1
2026-09-09T21:58:47.169094,0.7977777777777343,25169920.0,0.0,nan,nan,1.0,1
2026-09-09T21:58:57.195932,0.7977777777777343,24989696.0,0.0,nan,nan,1.0,1
